abundance,density
3.0,9
1.0,2
1.5,2
3.1666666666666665,6
1.7142857142857142,7
0,0
1.4,5
2.0,1
1.8,5
1.625,8
1.0,4
2.0,2
0,0
3.0,3
1.2,5
0,0
0,0
1.4,5
1.0,1
2.142857142857143,7
2.8333333333333335,6
1.25,4
1.4285714285714286,7
1.0,1
0,0
2.5714285714285716,7
0,0
1.0,1
2.8,5
0,0
0,0
0,0
2.0,1
1.6666666666666667,3
1.0,3
1.5,2
1.0,2
0,0
1.1666666666666667,6
1.2,5
1.0,1
0,0
0,0
1.5,4
1.0,5
4.0,2
1.75,4
1.25,4
1.0,4
1.0,2
1.3333333333333333,3
3.0,1
1.6666666666666667,3
2.0,9
1.0,1
1.75,8
2.0,4
1.0,1
0,0
1.0,1
3.0,4
1.8,5
1.4,5
1.5,4
1.6666666666666667,3
1.3333333333333333,6
0,0
1.1666666666666667,6
2.857142857142857,7
1.0,2
0,0
1.0,1
1.75,4
1.0,2
4.0,4
1.3333333333333333,6
2.0,5
1.7142857142857142,7
5.0,1
1.75,4
1.0,3
1.0,2
1.0,1
1.8,5
2.0,2
2.0,1
2.2,5
0,0
1.0,2
3.75,4
2.0,2
1.0,2
1.5,2
2.0,4
1.75,4
1.0,4
1.5,4
1.0,1
1.6666666666666667,6
2.0,3
1.0,2
2.0,5
1.6666666666666667,6
2.0,1
1.3333333333333333,3
1.0,3
0,0
1.4,5
2.6666666666666665,3
1.2857142857142858,7
1.5,2
0,0
1.2,5
1.0,2
0,0
3.0,2
2.6,5
1.6,5
2.090909090909091,11
5.666666666666667,3
1.5,2
2.2,5
1.0,1
1.5,4
1.0,4
0,0
1.25,4
1.5,4
0,0
0,0
1.75,8
1.0,1
1.0,1
1.5,4
1.0,2
1.5714285714285714,14
1.8,5
0,0
0,0
2.0,12
2.8461538461538463,13
2.5,4
3.0,2
2.6363636363636362,11
0,0
1.0,2
1.75,4
1.0,3
1.0,1
1.75,4
1.8571428571428572,7
1.75,4
1.0,5
4.4,5
2.25,4
1.3333333333333333,3
1.0,1
2.25,4
1.0,2
1.25,4
2.0,4
1.3333333333333333,9
1.6666666666666667,3
1.0,1
2.2,5
1.1666666666666667,6
1.5,4
2.5,4
1.0,1
1.75,4
2.6666666666666665,9
1.5,2
1.875,8
0,0
1.3333333333333333,3
1.6666666666666667,3
2.5714285714285716,7
1.3333333333333333,3
4.0,3
1.25,4
2.5,4
3.888888888888889,9
1.75,4
2.8,10
2.3333333333333335,6
1.25,4
2.6363636363636362,11
1.5,4
1.2,5
1.0,1
1.0,4
1.8571428571428572,7
1.8,5
1.25,8
1.1666666666666667,6
1.6666666666666667,3
1.5,8
2.142857142857143,7
4.142857142857143,7
1.0,1
1.75,4
