Index,Year,Title,Authors,PPD,Sediment,Water,Biological,Sediment_Concentration,Water_Concentration,Biological_Concentration,Abstract
1,N/A,"</b>
Lack of evidence for metabolism of &lt;i&gt;p&lt;/i&gt;-phenylenediamine by human
hepatic cytochrome P450 enzymes</td>
</tr>

<tr>
<td>
<b>",,1,0,1,1,0,0,0,"</b> p-phenylenediamine (ppd) is a widely used ingredient in permanent hair dyes; however, little has been published on its metabolism, especially with respect to hepatic cytochrome p450 (cyp)-mediated oxidation. this is regarded as a key step in the activation of carcinogenic arylamines that ultima..."
2,N/A,"</b>
Evaluation of antioxidant activity of homo and copolymer of aniline and
&lt;i&gt;p&lt;/i&gt;-phenylenediamine electrosynthesized in the presence of calcium
chloride</td>
</tr>

<tr>
<td>
<b>","</b> Parsa, A ; Sadeghi, M ; Parsa, Z ; Shakeri, A ; Tehrani, M ; Ab Ghani, S </td> </tr> <tr xmlns:bean=""http://ts.thomson.com/ua/bean"" xmlns:exsl=""http://exslt.org/common"" xmlns:set=""http://exslt.org/sets""> <td><span class=""FR_label""><b>",1,1,0,0,0,0,0,</b> homo and copolymer of aniline (ani) and p-phenylenediamine (ppda) are electrodeposited on the composite graphite (cg) in phosphoric acid (h3po4) solution which contains calcium chloride (cacl2) as the supporting electrolyte and different ratios of two monomers. the antioxidant activity is evalu...
3,N/A,"</b>
Artificial liposomes as a model for studying the lipid peroxidation
effect of p-phenylene diamine.</td>
</tr>

<tr>
<td>
<b>",,0,0,0,0,0,0,0,</b> the effect of p-phenylene diamine on the peroxidation of liposomized samples of lecithin and peanut oil was studied under optimal conditions. the p-phenylene diamine was found to affect the formation of thiobarbituric acid reactive products of lipid peroxidation and the efficacy of various free...
4,N/A,"</b>
On the mechanism of fatty liver in white phosphorus-poisoned rats.</td>
</tr>

<tr>
<td>
<b>",,0,0,0,0,0,0,0,
5,N/A,"</b>
GRAPHENE AS AN ANTIOXIDANT AND ANTIOZONANT IN TIRE SIDEWALL COMPOUNDS</td>
</tr>

<tr>
<td>
<b>",,1,0,0,0,0,0,0,"</b> tire sidewalls have an important function in achieving optimized tire performance. the sidewall compound must show good abrasion resistance, aging resistance, and tear strength; low hysteresis and minimal contribution to whole tire rolling resistance; and good adhesion to adjacent components in..."
6,N/A,"</b>
Validation of the acute toxicity of inorganic chloramines to the fresh
water invertebrate &lt;i&gt;Daphnia magna&lt;/i&gt;</td>
</tr>

<tr>
<td>
<b>",,0,0,0,0,0,0,0,
7,N/A,"</b>
Mutagenicity of commercial hair dyes in Salmonella typhimurium TA98.</td>
</tr>

<tr>
<td>
<b>",,1,0,1,0,0,0,0,"</b> commercial permanent hair-dye formulations containing p-phenylenediamine, resorcinol and aminophenols were incubated with hydrogen peroxide and then tested for their ability to induce reverse mutations in salmonella typhimurium ta98. approximately half of the formulations (12 out of 25) gave po..."
8,N/A,"</b>
Electron transport particles from Bacillus stearothermophilus.</td>
</tr>

<tr>
<td>
<b>",,1,0,1,0,0,0,0,"</b> downey, ronald j. (university of nebraska, lincoln), carl e. georgi, and walter e. militzer. electron transport particles from bacillus stearothermophilus. j. bacteriol. 83:1140-1146. 1962-electron-transport particles (etp) have been isolated from bacillus stearothermophilus. they are capable o..."
9,N/A,"</b>
Electrocatalytic oxidation of 2,5-dimercapto-1,3,4-thiadiazole by
polyaniline.: 1 use of &lt;i&gt;N,N&lt;/i&gt;&prime;-diphenyl-&lt;i&gt;p&lt;/i&gt;-phenylenediamine as
a model compound of polyaniline</td>
</tr>

<tr>
<td>
<b>",,1,0,0,0,0,0,0,"</b> in the present study, electrocatalysis by polyaniline was investigated using a model compound of polyaniline, n,n'-diphenyl-p-phenylenediamine (dppd). electrochemical measurements indicated that the highest oxidized form of dppd diimine, showed high electrocatalytic activity toward the oxidatio..."
10,N/A,"</b>
Effect of N-N'-diphenyl-p-phenylenediamine pretreatment on urinary
enzyme excretion in cisplatin nephrotoxicity in rats.</td>
</tr>

<tr>
<td>
<b>",,1,0,0,1,0,0,0,"</b> two days after cisplatin was injected into rats, urinary n-acetyl-beta-d-glucosaminidase (nag) and gamma-glutamyltranspeptidase (gamma-gtp) activities increased. the urinary excretion of nag continued to rise until 4 days after the injection of cisplatin, the last day examined. however, the inc..."
